,AVG,,,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Player,Team,PO,PASS ATT,PASS ATT,PASS ATT,PASS ATT,PASS ATT,PASS CMP,PASS CMP,PASS CMP,PASS CMP,PASS CMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS YDS,PASS YDS,PASS YDS,PASS YDS,PASS YDS,PASS FDS,PASS FDS,PASS FDS,PASS FDS,PASS FDS,PASS TDS,PASS TDS,PASS TDS,PASS TDS,PASS TDS,PASS INT,PASS INT,PASS INT,PASS INT,PASS INT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH YDS,RUSH YDS,RUSH YDS,RUSH YDS,RUSH YDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH TDS,RUSH TDS,RUSH TDS,RUSH TDS,RUSH TDS,REC REC,REC REC,REC REC,REC REC,REC REC,REC YDS,REC YDS,REC YDS,REC YDS,REC YDS,REC FDS,REC FDS,REC FDS,REC FDS,REC FDS,REC TDS,REC TDS,REC TDS,REC TDS,REC TDS,MISC FL,MISC FL,MISC FL,MISC FL,MISC FL,FGA,FGA,FGA,FGA,FGA,FGMa,FGMa,FGMa,FGMa,FGMa,FGMi,FGMi,FGMi,FGMi,FGMi,XPTA,XPTA,XPTA,XPTA,XPTA,XPTMa,XPTMa,XPTMa,XPTMa,XPTMa,XPTMi,XPTMi,XPTMi,XPTMi,XPTMi,SACK,SACK,SACK,SACK,SACK,INT,INT,INT,INT,INT,FR,FR,FR,FR,FR,FF,FF,FF,FF,FF,TD,TD,TD,TD,TD,SAFETY,SAFETY,SAFETY,SAFETY,SAFETY,PA,PA,PA,PA,PA,YDS_AGN,YDS_AGN,YDS_AGN,YDS_AGN,YDS_AGN,PASSING ATT,PASSING CMP,PASSING INCMP,PASSING YDS,PASSING FDS,PASSING TDS,PASSING INT,RUSHING ATT,RUSHING YDS,RUSHING FDS,RUSHING TDS,RECEIVING REC,RECEIVING YDS,RECEIVING FDS,RECEIVING TDS,MISC FL,FGA,FGMa,FGMi,XPTA,XPTMa,XPTMi,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,ID,,,All Pos,,,QB,RB,WR,TE,K,DST
560,Michael Burton,DEN,RB,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,5.1,#N/A,#N/A,#N/A,5.1,20.6,#N/A,#N/A,#N/A,20.6,1.0,#N/A,#N/A,#N/A,1.0,0.1,#N/A,#N/A,#N/A,0.1,4.0,#N/A,#N/A,#N/A,4.0,26.4,#N/A,#N/A,#N/A,26.4,1.2,#N/A,#N/A,#N/A,1.2,0.2,#N/A,#N/A,#N/A,0.2,0.1,#N/A,#N/A,#N/A,0.1,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,2.1,0.0,0.6,4.0,2.6,0.0,1.2,-0.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000441,10.30,560,15.72,Dee Eskridge,WR,0.00,0.00,15.72,0.00,0.00,0.00
561,John Stephens Jr.,DAL,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,4.0,#N/A,#N/A,#N/A,4.0,41.0,#N/A,#N/A,#N/A,41.0,2.0,#N/A,#N/A,#N/A,2.0,0.3,#N/A,#N/A,#N/A,0.3,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,4.0,4.1,0.0,1.8,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000440,9.90,561,15.61,Malik Heath,WR,0.00,0.00,15.61,0.00,0.00,0.00
562,Avery Williams,ATL,RB,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,4.4,#N/A,#N/A,#N/A,4.4,18.5,#N/A,#N/A,#N/A,18.5,0.9,#N/A,#N/A,#N/A,0.9,0.2,#N/A,#N/A,#N/A,0.2,3.3,#N/A,#N/A,#N/A,3.3,22.3,#N/A,#N/A,#N/A,22.3,1.0,#N/A,#N/A,#N/A,1.0,0.2,#N/A,#N/A,#N/A,0.2,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,1.9,0.0,1.2,3.3,2.2,0.0,1.2,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000439,9.78,562,15.60,Chris Conley,WR,0.00,0.00,15.60,0.00,0.00,0.00
563,Darrynton Evans,BUF,RB,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,5.0,#N/A,#N/A,#N/A,5.0,20.7,#N/A,#N/A,#N/A,20.7,1.1,#N/A,#N/A,#N/A,1.1,0.1,#N/A,#N/A,#N/A,0.1,3.1,#N/A,#N/A,#N/A,3.1,23.1,#N/A,#N/A,#N/A,23.1,1.0,#N/A,#N/A,#N/A,1.0,0.2,#N/A,#N/A,#N/A,0.2,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,2.1,0.0,0.6,3.1,2.3,0.0,1.2,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000438,9.28,563,15.59,Josiah Deguara,TE,0.00,0.00,0.00,15.59,0.00,0.00
564,DeeJay Dallas,ARI,RB,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,5.3,#N/A,#N/A,#N/A,5.3,30.3,#N/A,#N/A,#N/A,30.3,1.5,#N/A,#N/A,#N/A,1.5,0.1,#N/A,#N/A,#N/A,0.1,3.7,#N/A,#N/A,#N/A,3.7,24.5,#N/A,#N/A,#N/A,24.5,1.1,#N/A,#N/A,#N/A,1.1,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,3.0,0.0,0.6,3.7,2.5,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000437,9.78,564,15.19,Alec Ingold,RB,0.00,15.19,0.00,0.00,0.00,0.00
565,Tyler Johnson,LAR,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,3.3,#N/A,#N/A,#N/A,3.3,40.3,#N/A,#N/A,#N/A,40.3,1.9,#N/A,#N/A,#N/A,1.9,0.3,#N/A,#N/A,#N/A,0.3,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,3.3,4.0,0.0,1.8,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000436,9.13,565,14.53,Hunter Long,TE,0.00,0.00,0.00,14.53,0.00,0.00
566,Travis Homer,CHI,RB,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,2.3,#N/A,#N/A,#N/A,2.3,32.3,#N/A,#N/A,#N/A,32.3,1.6,#N/A,#N/A,#N/A,1.6,0.0,#N/A,#N/A,#N/A,0.0,3.1,#N/A,#N/A,#N/A,3.1,22.1,#N/A,#N/A,#N/A,22.1,1.0,#N/A,#N/A,#N/A,1.0,0.1,#N/A,#N/A,#N/A,0.1,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,3.2,0.0,0.0,3.1,2.2,0.0,0.6,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000435,9.14,566,14.48,Scotty Miller,WR,0.00,0.00,14.48,0.00,0.00,0.00
567,Tylan Wallace,BAL,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,2.0,#N/A,#N/A,#N/A,2.0,0.1,#N/A,#N/A,#N/A,0.1,0.0,#N/A,#N/A,#N/A,0.0,4.0,#N/A,#N/A,#N/A,4.0,50.7,#N/A,#N/A,#N/A,50.7,2.4,#N/A,#N/A,#N/A,2.4,0.1,#N/A,#N/A,#N/A,0.1,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.2,0.0,0.0,4.0,5.1,0.0,0.6,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000434,9.87,567,14.41,JaMycal Hasty,RB,0.00,14.41,0.00,0.00,0.00,0.00
568,River Cracraft,MIA,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,6.9,#N/A,#N/A,#N/A,6.9,51.6,#N/A,#N/A,#N/A,51.6,2.5,#N/A,#N/A,#N/A,2.5,0.1,#N/A,#N/A,#N/A,0.1,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,6.9,5.2,0.0,0.6,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000433,12.66,568,14.40,Cody Schrader,RB,0.00,14.40,0.00,0.00,0.00,0.00
569,Malik Davis,DAL,RB,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,2.3,#N/A,#N/A,#N/A,2.3,32.1,#N/A,#N/A,#N/A,32.1,1.6,#N/A,#N/A,#N/A,1.6,0.0,#N/A,#N/A,#N/A,0.0,2.6,#N/A,#N/A,#N/A,2.6,19.5,#N/A,#N/A,#N/A,19.5,0.9,#N/A,#N/A,#N/A,0.9,0.1,#N/A,#N/A,#N/A,0.1,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,3.2,0.0,0.0,2.6,2.0,0.0,0.6,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000432,8.36,569,14.40,Tim Jones,WR,0.00,0.00,14.40,0.00,0.00,0.00
570,Keaontay Ingram,KC,RB,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,9.0,#N/A,#N/A,#N/A,9.0,32.7,#N/A,#N/A,#N/A,32.7,1.7,#N/A,#N/A,#N/A,1.7,0.1,#N/A,#N/A,#N/A,0.1,2.1,#N/A,#N/A,#N/A,2.1,12.8,#N/A,#N/A,#N/A,12.8,0.6,#N/A,#N/A,#N/A,0.6,0.1,#N/A,#N/A,#N/A,0.1,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,3.3,0.0,0.6,2.1,1.3,0.0,0.6,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000431,7.85,570,14.23,Zonovan Knight,RB,0.00,14.23,0.00,0.00,0.00,0.00
571,Dareke Young,SEA,WR,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,0.0,#N/A,#N/A,#N/A,0.0,3.4,#N/A,#N/A,#N/A,3.4,39.8,#N/A,#N/A,#N/A,39.8,1.9,#N/A,#N/A,#N/A,1.9,0.3,#N/A,#N/A,#N/A,0.3,0.0,#N/A,#N/A,#N/A,0.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,3.4,4.0,0.0,1.8,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000430,9.18,571,14.05,Boston Scott,RB,0.00,14.05,0.00,0.00,0.00,0.00
